# Constructed from biom file																																																																																																														
#OTU ID	C4_359	C4_195	C4_288	C2_308	C2_353	C2_498	C2_306	C1_210	C3_341	C2_323	C2_311	C2_356	C2_298	C2_289	C4_329	C2_326	C4_201	C2_295	C2_317	C2_497	C4_213	C2_304	C2_499	C1_291	C2_184	C4_285	C4_230	C2_219	C2_292	C2_204	C4_207	C2_314	C2_350	C2_176	C4_338	C2_344	C1_505	C3_175	C1_198	C2_225	C4_187	C4_222	C3_335	C4_216	C2_347	C2_301	C4_192	C1_181	C2_282	C4_332	C4_178	C2_320	T4_379	T3_373	T4_367	T2_388	T3_382	T4_370	T3_376	T4_364	T2_385	T4_400	T4_403	T4_391	T4_361	T1_397	T3_394	T4_406	T2_409	PA3_421	PA4_427	PA4_424	PA4_480	PA4_432	PA4_255	PA2_444	PA2_261	PA2_474	PA2_249	PA2_246	PA4_471	PA2_258	PA4_435	PA2_465	PA2_447	PA3_438	PA1_264	PA1_450	PA1_468	PA4_243	PA4_462	PA4_453	PA2_459	PA4_240	PA2_441	PA1_477	PA1_252	PA4_456	PR4_150	PR1_153	PR1_123	PR3_147	PR4_144	PR4_132	PR2_135	PR4_138	PR4_126	PR2_129	PR3_141	taxonomy
71074	0	0	2	0	0	0	2	1	0	0	1	3	7	0	0	0	0	5	1	1	3	4	3	0	0	0	0	2	2	3	1	0	0	1	0	0	0	1	1	1	0	4	1	0	0	0	2	0	0	2	0	3	1	0	0	0	2	0	0	1	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__CandidatusNitrososphaera; s__SCA1145
531776	0	0	7	5	0	0	2	2	1	0	2	5	0	0	1	2	0	2	0	0	3	0	2	0	1	1	1	3	3	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__; o__; f__Koribacteraceae; g__; s__
329291	0	0	13	4	0	0	0	17	1	4	2	4	1	1	2	1	1	4	3	0	8	0	1	0	0	0	0	3	1	1	0	2	0	1	0	2	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	1	2	4	0	0	1	0	7	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__; g__; s__
212239	1	0	0	0	1	0	0	0	0	2	0	4	0	0	0	1	0	1	1	0	2	0	1	0	0	0	1	1	0	2	0	0	0	3	2	4	0	4	1	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__Acidobacteriaceae; g__Terriglobus; s__
168599	0	0	1	2	2	0	0	0	0	0	3	21	0	0	0	2	1	0	2	0	1	17	0	0	0	0	1	0	1	0	0	3	4	1	0	2	1	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	1	0	0	4	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__Acidobacteriaceae; g__Terriglobus; s__
164562	0	2	4	12	0	2	6	4	3	2	6	1	1	4	1	6	2	4	4	0	3	3	5	0	1	3	5	0	0	3	2	18	4	5	0	3	1	8	1	2	0	26	1	1	2	1	1	2	0	0	0	1	2	7	0	4	1	3	4	5	1	1	0	1	0	1	1	0	1	0	0	4	0	0	0	0	1	0	0	3	0	3	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__; g__; s__
242304	0	2	5	1	1	0	0	2	3	4	3	4	0	2	0	1	3	8	3	0	3	0	0	0	0	0	0	1	0	2	0	2	0	8	0	0	0	4	0	0	0	2	1	1	0	1	1	1	0	1	1	0	0	0	0	0	2	2	1	0	0	0	0	0	0	1	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__; g__; s__
220981	0	0	2	0	0	0	0	0	1	3	5	12	0	2	0	2	2	4	3	0	0	13	1	0	0	0	0	0	2	0	0	2	0	2	6	14	0	1	0	0	0	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	5	0	6	0	0	0	0	0	0	0	3	0	0	0	0	3	0	2	0	1	0	0	3	2	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__CandidatusSolibacter; s__
276582	0	0	7	1	5	0	0	2	0	1	0	2	0	0	2	1	1	1	0	0	0	13	1	0	2	0	0	1	0	14	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	1	0	0	0	2	3	2	2	1	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__; o__; f__; g__; s__
19760	0	25	0	1	0	0	0	0	0	1	0	0	6	1	1	1	0	3	2	1	0	0	0	0	1	0	1	3	3	2	9	1	0	0	1	0	1	2	0	0	1	1	1	3	0	0	0	1	0	0	0	2	1	0	0	0	1	7	0	0	4	2	0	1	0	0	0	0	0	0	0	2	0	0	0	1	7	1	3	2	0	1	0	0	4	0	1	2	1	0	1	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
203722	0	0	2	0	2	0	1	0	0	2	2	3	1	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	1	1	1	4	20	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
133829	0	0	0	0	2	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	1	3	0	1	6	2	93	1	43	3	0	4	0	0	1	7	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
137991	0	1	1	2	1	0	0	0	0	0	0	0	2	0	1	5	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	3	1	2	2	8	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	5	0	0	0	0	2	3	1	2	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
269352	0	0	0	1	0	1	0	1	1	0	2	3	0	0	0	0	0	5	0	0	2	1	1	0	3	0	0	2	0	1	0	2	0	1	0	2	0	1	0	0	0	6	1	0	1	0	1	0	0	1	2	1	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
